plot_name,elevation_m
flow1973_107,975
flow1973_109,975
flow1973_110,975
flow1973_079,975
flow1973_081,975
flow1973_084,975
alili_01,917
alili_04,960
alili_05,917
alili_06,942
alili_14,969
alili_15,985
escape_02,997
escape_04,1012
escape_06,1007
escape_87,1004
escape_89,1003
escape_90,1013
hippnet_05,1131
hippnet_06,1152
hippnet_08,1126
hippnet_09,1212
hippnet_11,1231
hippnet_13,1177
kaiholenaOld_04,1027
kaiholenaOld_05,1049
kaiholenaOld_06,994
kaiholenaOld_07,954
kaiholenaOld_08,969
kaiholenaOld_10,1009
kaiholenaYng_02,966
kaiholenaYng_04,1012
kaiholenaYng_08,1003
kaiholenaYng_09,1045
kaiholenaYng_10,1029
kaiholenaYng_11,1045
kohalaOld_01,1294
kohalaOld_03,1273
kohalaOld_05,1318
kohalaOld_06,1309
kohalaOld_07,1335
kohalaOld_08,1313
kohalaYng_03,1285
kohalaYng_04,1303
kohalaYng_07,1274
kohalaYng_08,1266
kohalaYng_10,1305
kohalaYng_20,1281
laupLSAG_01,1102
laupLSAG_04,1158
laupLSAG_07,1155
laupLSAG_10,1181
laupLSAG_12,1251
laupLSAG_15,1242
laupOld_05,1076
laupOld_06,1049
laupOld_07,1033
laupOld_11,1074
laupOld_14,1061
laupOld_20,1055
olaa_01,1170
olaa_02,1163
olaa_03,1169
olaa_06,1177
olaa_10,1183
olaa_12,1183
thurston_01,1177
thurston_04,1181
thurston_05,1189
thurston_06,1195
thurston_08,1195
thurston_12,1189
treePlanting_01,1209
treePlanting_02,1198
treePlanting_03,1204
treePlanting_04,1196
treePlanting_05,1198
treePlanting_06,1192
