"name","rats","area"
"kipuka_36","treated",0.1642
"kipuka_13","treated",0.105
"kipuka_12","treated",0.162
"kipuka_4","untreated",0.0685
"kipuka_2","untreated",0.1579
"kipuka_24","treated",0.0863
"kipuka_37","treated",0.0685
"kipuka_39","untreated",0.1213
"kipuka_28","untreated",0.095
"kipuka_14","treated",0.5513
"kipuka_9","untreated",0.5462
"kipuka_20","untreated",0.4215
"kipuka_23","treated",0.2678
"kipuka_22","untreated",0.7393
"kipuka_29","treated",0.7934
"kipuka_34","treated",0.2152
"kipuka_38","untreated",0.2155
"kipuka_40","untreated",0.1937
"kipuka_30","treated",0.7168
"kipuka_21","treated",0.5373
"kipuka_25","untreated",0.3595
"kipuka_10","untreated",1.7626
"kipuka_6","treated",1.1685
"kipuka_15","treated",3.5558
"kipuka_3","untreated",2.2152
"kipuka_18","untreated",3.0066
"kipuka_19","untreated",2.6184
"kipuka_26","treated",2.1401
"kipuka_27","untreated",3.7205
"kipuka_32","treated",2.818
"kipuka_31","untreated",3.5713
"kipuka_5","treated",10.0152
"kipuka_35","untreated",12.3735
"kipuka_33","untreated",10.18
